,Compound,Negative,Neutral,Positive,Source,Tweet,Tweet Time,Tweets Ago
58,-0.2263,0.083,0.917,0.0,CBS,"Due to an NFL overrun, CBS is delayed 17 mins in the following markets: Kansas City, Miami, Tampa, NOLA, New York,… https://t.co/9eXZ9mA1Xb",2018-09-09 23:36:09+00:00,59
57,0.0,0.0,1.0,0.0,CBS,"This just in! The 54th #ACMawards will air LIVE from Las Vegas on Sunday, April 7, 2019 at 8/7c on CBS and… https://t.co/Q9e7qxe26l",2018-09-10 17:06:16+00:00,58
56,0.4753,0.083,0.699,0.218,CBS,RT @CBSAllAccess: Get excited! Stream original #MurphyBrown episodes for a limited time on CBS All Access before the @MurphyBrownCBS reviva…,2018-09-13 18:06:49+00:00,57
55,0.0,0.0,1.0,0.0,CBS,This just in... https://t.co/QG3OYF6Rfv,2018-09-13 20:28:06+00:00,56
54,0.0,0.0,1.0,0.0,CBS,@PlaggemeyLee Mac's putting something together. 😉 https://t.co/6ww5HlV6Bx,2018-09-13 20:52:06+00:00,55
53,-0.2481,0.233,0.598,0.17,CBS,"RT @CBSAllAccess: No internet, no problem. You can now download and play your favorite shows on CBS All Access! 🙌 Learn how: https://t.co/y…",2018-09-14 18:22:59+00:00,54
52,-0.4322,0.159,0.771,0.07,CBS,"What happens when a PTA mom steals nearly $100,000 from her daughter's school? Don't miss the #PinkCollarCrimes sea… https://t.co/Gjiy0pByaE",2018-09-15 16:00:01+00:00,53
51,0.0,0.0,1.0,0.0,CBS,RT @CBSAllAccess: Sundays were made for NFL on CBS. 🏈💯 Stream NFL on CBS All Access live today: https://t.co/vsod8jGE7N https://t.co/co2528…,2018-09-16 14:33:46+00:00,52
50,-0.2263,0.091,0.909,0.0,CBS,"Due to an NFL overrun, the CBS Sunday lineup is delayed in the East/Central cities ONLY. New start times:… https://t.co/IypoJ0l16P",2018-09-16 23:48:59+00:00,51
49,0.3612,0.0,0.737,0.263,CBS,Waiting for tonight's @Elementary_CBS season finale like https://t.co/Ou8342vGT9,2018-09-17 19:18:37+00:00,50
48,0.0,0.0,1.0,0.0,CBS,RT @SalvationCBS: X marks the spot on the heart-stopping season finale of #SalvationCBS tonight at 9/8c on CBS &amp; CBS All Access: https://t.…,2018-09-17 21:41:20+00:00,49
