,Compound,Negative,Neutral,Positive,Source,Tweet,Tweet Time,Tweets Ago
42,0.0762,0.0,0.939,0.061,The New York Times,RT @karenyourish: Many who could have shed light on the allegations against Judge Kavanaugh were not questioned by the F.B.I. w/@TroyEricG…,2018-10-04 18:34:06+00:00,43
41,0.4588,0.08,0.766,0.153,The New York Times,RT @julieturkewitz: Mia Love is the daughter of Haitian immigrants. She was the first black Republican woman elected to Congress. She has s…,2018-10-04 18:40:10+00:00,42
40,0.2263,0.092,0.773,0.135,The New York Times,"The Brooklyn-Queens Expressway, a detested but vital highway in New York, is falling apart and a 1.5-mile stretch o… https://t.co/2lOm7xkG3K",2018-10-04 18:50:03+00:00,41
39,-0.4019,0.119,0.881,0.0,The New York Times,"On Thursday, closing arguments were made in the case of the shooting of Laquan McDonald, a black teenager who was s… https://t.co/lxM6K3audn",2018-10-04 19:00:11+00:00,40
38,-0.2023,0.091,0.909,0.0,The New York Times,"In Opinion,

Maria Gallagher, one of the protestors who confronted Senator Jeff Flake in the elevator, writes, “Rec… https://t.co/H1jiH2MvJg",2018-10-04 19:15:04+00:00,39
37,0.6249,0.0,0.823,0.177,The New York Times,"RT @Emily_Baum: Today in ""possibly awesome, possibly biological warfare"": The Pentagon is working to engineer a system in which billions of…",2018-10-04 19:30:03+00:00,38
36,0.0,0.0,1.0,0.0,The New York Times,"Yer a museum exhibit, Harry
https://t.co/c500QvytUJ",2018-10-04 19:35:06+00:00,37
35,0.2023,0.0,0.904,0.096,The New York Times,Looking to stay on top of the news about Brett Kavanaugh and the FBI investigation? Start here. https://t.co/t0v3Twgazu,2018-10-04 19:50:03+00:00,36
34,0.3612,0.0,0.898,0.102,The New York Times,"47% of voters who approve of President Trump say they feel like strangers in their own country.
44% of voters who d… https://t.co/pffsXyBwHT",2018-10-04 20:00:12+00:00,35
33,-0.5859,0.231,0.769,0.0,The New York Times,"Kennedy Airport has long been a mess, with its disjointed terminals and countless delays. Now, officials have a $13… https://t.co/gAAy2RIr7O",2018-10-04 20:15:03+00:00,34
32,-0.5719,0.207,0.793,0.0,The New York Times,RT @jwherrman: I’d argue we’ve lost track of what kind of company Apple is. And maybe Apple has too https://t.co/uYv65BCaxL,2018-10-04 20:30:06+00:00,33
